,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_lda__solver,param_lda__shrinkage,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0,93.4805060863495,0.6679539108899791,0.12987923622131348,0.03672013377579583,svd,,{'lda__solver': 'svd'},0.7095890410958904,0.6926286509040334,0.7283072546230441,0.7613941018766756,0.6976090014064698,0.7179056099812227,0.024977932005859564,12
1,101.93401584625244,11.805169073808033,0.13923583030700684,0.035121494620234624,lsqr,0.0,"{'lda__shrinkage': 0.0, 'lda__solver': 'lsqr'}",0.40852130325814534,0.45627376425855515,0.42803504380475593,0.3841059602649007,0.47680412371134023,0.4307480390595394,0.03301392803745792,13
2,117.864213180542,0.4532048430680841,0.1934237003326416,0.1476549770132795,lsqr,0.1,"{'lda__shrinkage': 0.1, 'lda__solver': 'lsqr'}",0.8954344624447718,0.8766716196136701,0.8490284005979073,0.8991097922848664,0.8768328445747801,0.8794154239031992,0.017787900972696977,10
3,96.85846862792968,11.824011813010436,0.177113676071167,0.10020398428139381,lsqr,0.2,"{'lda__shrinkage': 0.2, 'lda__solver': 'lsqr'}",0.9166666666666666,0.9041916167664671,0.8801213960546282,0.9175412293853074,0.9050445103857567,0.9047130838517653,0.01350986558129119,9
4,92.86917033195496,6.453802423221425,0.2187347412109375,0.10981833323817919,lsqr,0.3,"{'lda__shrinkage': 0.3, 'lda__solver': 'lsqr'}",0.9313432835820895,0.9216867469879518,0.9019607843137255,0.9281437125748503,0.9198813056379822,0.9206031666193197,0.010212184814240669,7
5,95.66827120780945,0.9733553627121906,0.13006997108459473,0.05628023085015103,lsqr,0.4,"{'lda__shrinkage': 0.4, 'lda__solver': 'lsqr'}",0.9357249626307922,0.9291101055806938,0.9030303030303031,0.9325337331334332,0.9357249626307922,0.9272248134012029,0.012341947668528403,6
6,94.4626694202423,6.943255584505034,0.13475098609924316,0.0608820645342039,lsqr,0.5,"{'lda__shrinkage': 0.5, 'lda__solver': 'lsqr'}",0.9323308270676691,0.9349470499243571,0.9071537290715372,0.9401197604790419,0.9448584202682563,0.9318819573621724,0.013094514428311705,4
7,103.50663089752197,1.690915750009217,0.23767690658569335,0.14992568742209736,lsqr,0.6,"{'lda__shrinkage': 0.6, 'lda__solver': 'lsqr'}",0.9337349397590361,0.9361702127659575,0.9118541033434651,0.9417040358744395,0.9427710843373494,0.9332468752160497,0.011213107719176997,3
8,88.73464093208312,4.255681971781588,0.1168489933013916,0.031148477538625305,lsqr,0.7,"{'lda__shrinkage': 0.7, 'lda__solver': 'lsqr'}",0.9349470499243571,0.9374045801526718,0.9207317073170732,0.93993993993994,0.9425981873111783,0.9351242929290441,0.007634490145015695,1
9,88.65263142585755,5.567319851889509,0.160512113571167,0.13940014830386516,lsqr,0.8,"{'lda__shrinkage': 0.8, 'lda__solver': 'lsqr'}",0.9303030303030303,0.9435114503816794,0.92,0.9457831325301205,0.9280245022970903,0.9335244231023839,0.009731939081145054,2
10,89.40515780448914,3.304606726966036,0.14753966331481932,0.05632159460750446,lsqr,0.9,"{'lda__shrinkage': 0.9, 'lda__solver': 'lsqr'}",0.9319213313161876,0.9388379204892966,0.9209302325581395,0.9468892261001517,0.9138461538461539,0.9304849728619858,0.011908633376596868,5
11,75.75132207870483,7.9007672066424925,0.16510896682739257,0.12758933339581002,lsqr,1.0,"{'lda__shrinkage': 1.0, 'lda__solver': 'lsqr'}",0.7451564828614009,0.777947932618683,0.7410714285714286,0.7916666666666666,0.6865203761755486,0.7484725773787455,0.03643727387270023,11
12,90.4741162776947,2.755758956354815,0.06500978469848633,0.011991961936806853,lsqr,auto,"{'lda__shrinkage': 'auto', 'lda__solver': 'lsqr'}",0.9253731343283582,0.9112781954887218,0.9006024096385542,0.9281437125748503,0.9166666666666666,0.9164128237394303,0.009942826120021396,8
