mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_pca__n_components,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
1.3563157558441161,0.28253218799101587,0.03464326858520508,0.0073277551193168255,5,{'pca__n_components': 5},0.886535552193646,0.8723404255319149,0.8558692421991084,0.8834355828220859,0.9169139465875371,0.8830189498668585,0.02006264382405884,20
0.9442276000976563,0.050647093762608154,0.024003267288208008,0.00509596014419911,10,{'pca__n_components': 10},0.930780559646539,0.9285714285714286,0.9155555555555556,0.9446935724962631,0.9516837481698389,0.9342569728879251,0.01270251141743446,17
1.1973551750183105,0.08308564187093907,0.031066322326660158,0.009077029720829686,20,{'pca__n_components': 20},0.9458272327964861,0.9401197604790419,0.9251101321585903,0.9357249626307922,0.9604685212298683,0.9414501218589557,0.011682475660475523,8
1.2782925605773925,0.03717603064402517,0.032529449462890624,0.004808928732643372,30,{'pca__n_components': 30},0.9470588235294117,0.9375,0.9280469897209985,0.9402985074626866,0.9618768328445748,0.9429562307115343,0.011260016574276827,2
1.4092974662780762,0.03455873813278683,0.030549383163452147,0.005903488432210739,40,{'pca__n_components': 40},0.9441176470588235,0.9387144992526159,0.9264705882352942,0.9387144992526159,0.9588235294117647,0.9413681526422227,0.010471590859048256,9
1.5735815525054933,0.036961744758199966,0.044491910934448244,0.0031863707108741967,50,{'pca__n_components': 50},0.945985401459854,0.9387144992526159,0.9244444444444444,0.9388971684053651,0.9648093841642229,0.9425701795453005,0.013138839500563507,5
1.8315722465515136,0.028365408667274144,0.03591036796569824,0.005884282897018554,60,{'pca__n_components': 60},0.9501466275659824,0.9401197604790419,0.9271916790490342,0.9345238095238095,0.9619883040935673,0.942794036142287,0.012177540542644227,4
1.9689981937408447,0.04990900708117968,0.04578704833984375,0.0019525142793786964,70,{'pca__n_components': 70},0.9456681350954479,0.9357249626307922,0.9301634472511144,0.9401197604790419,0.9589442815249267,0.9421241173962646,0.009833638608901891,6
2.198839473724365,0.08463065480731545,0.047083139419555664,0.021140826567851545,80,{'pca__n_components': 80},0.9456681350954479,0.9359165424739195,0.9278350515463918,0.9404761904761905,0.9604685212298683,0.9420728881643636,0.010904046438858237,7
2.3019320487976076,0.0856552325431846,0.04650897979736328,0.015214322271962446,90,{'pca__n_components': 90},0.9427312775330396,0.9402985074626866,0.9301634472511144,0.9418777943368107,0.9590643274853801,0.9428270708138063,0.009287839369403132,3
2.488957643508911,0.11034087733757407,0.05814461708068848,0.017004153341729875,100,{'pca__n_components': 100},0.9382352941176471,0.9343283582089552,0.9239940387481371,0.9418777943368107,0.9585798816568047,0.9394030734136709,0.011299814248545578,11
4.741429138183594,0.09523651908098064,0.08252100944519043,0.020712554900215247,200,{'pca__n_components': 200},0.9333333333333333,0.9436201780415431,0.9228486646884273,0.9319526627218935,0.9497041420118343,0.9362917961594063,0.009401005981312811,14
6.464420795440674,0.11401252078659474,0.09254240989685059,0.012648799554518775,300,{'pca__n_components': 300},0.9317851959361393,0.9390787518573551,0.9237536656891495,0.9352941176470588,0.961764705882353,0.9383352874024112,0.012761398772783997,12
5.735353422164917,0.09535233700818325,0.11294713020324706,0.01199046803757552,400,"{'pca__n_components': 400, 'MODEL_NAME': 'logit_pca_extra', 'TIME_ELAPSED_MIN': 0.8596405982971191}",0.9385964912280702,0.9392592592592592,0.9343283582089552,0.9458272327964861,0.9572901325478645,0.943060294808127,0.008009548780645805,1
7.0203807830810545,0.1273654417484055,0.15357537269592286,0.026456486910723647,500,{'pca__n_components': 500},0.9335302806499262,0.9437869822485208,0.9164179104477612,0.9345238095238095,0.9410029498525073,0.933852386544505,0.00953249458658528,18
8.367629528045654,0.1342868510237203,0.15794858932495118,0.019836472431916618,600,{'pca__n_components': 600},0.9392592592592592,0.9329359165424739,0.9221556886227545,0.9349112426035503,0.9450222882615156,0.9348568790579106,0.007585905174267213,15
9.741541385650635,0.08302364219779976,0.1840804100036621,0.004880110207567313,700,{'pca__n_components': 700},0.9354838709677419,0.9194029850746268,0.918918918918919,0.9361069836552749,0.9631811487481591,0.9346187814729443,0.016104521689166065,16
11.20251922607422,0.08539082958762824,0.22375478744506835,0.011181838205982056,800,{'pca__n_components': 800},0.9329359165424739,0.9239940387481371,0.9191616766467066,0.9278350515463918,0.9558823529411765,0.9319618072849772,0.01278671330776801,19
12.282833433151245,0.3604140502115008,0.21183767318725585,0.015394542511298195,900,{'pca__n_components': 900},0.9380530973451328,0.9285714285714286,0.9337349397590361,0.9335302806499262,0.9502923976608187,0.9368364287972686,0.007367543131489361,13
11.571125030517578,0.7615264116194248,0.15335068702697754,0.007734497676587788,1000,{'pca__n_components': 1000},0.9423929098966026,0.9285714285714286,0.9265367316341829,0.9382352941176471,0.9631811487481591,0.9397835025936041,0.013098422395554627,10
