,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_qda__reg_param,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0,30.246056079864502,1.3211486664867254,1.8647223949432372,0.07578357735620787,0.0,{'qda__reg_param': 0.0},0.47121820615796517,0.4832904884318766,0.506900878293601,0.43973509933774835,0.4795783926218709,0.47614461296861244,0.02171968877532445,11
1,28.514607191085815,1.9378714125474903,1.7123973846435547,0.21361670354826767,0.1,{'qda__reg_param': 0.1},0.5627563576702215,0.562037797863599,0.562037797863599,0.5632183908045977,0.5632183908045977,0.5626537470013229,0.000530464113593129,1
2,29.456751775741576,0.22391200830593816,1.537407922744751,0.04849140422993693,0.2,{'qda__reg_param': 0.2},0.5627563576702215,0.562037797863599,0.562037797863599,0.5632183908045977,0.5632183908045977,0.5626537470013229,0.000530464113593129,1
3,28.952118730545045,1.3357529969657482,1.65641508102417,0.09101371315366928,0.3,{'qda__reg_param': 0.3},0.5627563576702215,0.562037797863599,0.562037797863599,0.5632183908045977,0.5632183908045977,0.5626537470013229,0.000530464113593129,1
4,30.240208435058594,1.0246594888931104,1.7240600109100341,0.09826559019597954,0.4,{'qda__reg_param': 0.4},0.5627563576702215,0.562037797863599,0.562037797863599,0.5632183908045977,0.5632183908045977,0.5626537470013229,0.000530464113593129,1
5,30.17225522994995,1.4216290323359904,1.719927930831909,0.18165593602025976,0.5,{'qda__reg_param': 0.5},0.5627563576702215,0.562037797863599,0.562037797863599,0.5632183908045977,0.5632183908045977,0.5626537470013229,0.000530464113593129,1
6,30.39889302253723,0.4869221736496575,1.8176576614379882,0.13284731812136671,0.6,{'qda__reg_param': 0.6},0.5627563576702215,0.562037797863599,0.562037797863599,0.5632183908045977,0.5632183908045977,0.5626537470013229,0.000530464113593129,1
7,32.921954870224,0.09324682635906925,1.9452847480773925,0.08972556782857485,0.7,{'qda__reg_param': 0.7},0.5627563576702215,0.562037797863599,0.562037797863599,0.5632183908045977,0.5632183908045977,0.5626537470013229,0.000530464113593129,1
8,31.004358434677123,1.360424535109558,1.891918992996216,0.23917185565406585,0.8,{'qda__reg_param': 0.8},0.5627563576702215,0.562037797863599,0.562037797863599,0.5632183908045977,0.5632183908045977,0.5626537470013229,0.000530464113593129,1
9,32.09283738136291,0.2606710387780619,2.3094512462615966,0.5393749448165822,0.9,{'qda__reg_param': 0.9},0.5627563576702215,0.562037797863599,0.562037797863599,0.5632183908045977,0.5632183908045977,0.5626537470013229,0.000530464113593129,1
10,26.406849479675294,1.2486029813284465,1.2327102184295655,0.15258582589679262,1.0,{'qda__reg_param': 1.0},0.5627563576702215,0.562037797863599,0.562037797863599,0.5632183908045977,0.5632183908045977,0.5626537470013229,0.000530464113593129,1
