mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_qda__reg_param,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
20.383301067352296,0.19725307506871298,0.9549824714660644,0.03426067971890684,0.0,{'qda__reg_param': 0.0},0.4693333333333333,0.48267008985879334,0.5075,0.43824701195219123,0.47883597883597884,0.47531728279605934,0.02241510611958885,11
20.40772137641907,0.1978499945692638,0.9004132270812988,0.037638930541488876,0.1,"{'qda__reg_param': 0.1, 'MODEL_NAME': 'qda', 'TIME_ELAPSED_MIN': 2.115872402985891}",0.5627563576702215,0.562037797863599,0.562037797863599,0.5632183908045977,0.5632183908045977,0.5626537470013229,0.000530464113593129,1
19.330400514602662,0.43205618514089744,1.2920973777770997,0.1905879999277343,0.2,{'qda__reg_param': 0.2},0.5627563576702215,0.562037797863599,0.562037797863599,0.5632183908045977,0.5632183908045977,0.5626537470013229,0.000530464113593129,1
19.497627639770506,0.22541713451957587,1.4467350006103517,0.11215791860419376,0.3,{'qda__reg_param': 0.3},0.5627563576702215,0.562037797863599,0.562037797863599,0.5632183908045977,0.5632183908045977,0.5626537470013229,0.000530464113593129,1
19.96840081214905,0.6231251586235905,1.228729772567749,0.2609349108516144,0.4,{'qda__reg_param': 0.4},0.5627563576702215,0.562037797863599,0.562037797863599,0.5632183908045977,0.5632183908045977,0.5626537470013229,0.000530464113593129,1
20.63484025001526,0.16529176110563482,0.938215970993042,0.04932127738298514,0.5,{'qda__reg_param': 0.5},0.5627563576702215,0.562037797863599,0.562037797863599,0.5632183908045977,0.5632183908045977,0.5626537470013229,0.000530464113593129,1
19.684775161743165,0.34064667368008283,1.0446791648864746,0.07148981028841955,0.6,{'qda__reg_param': 0.6},0.5627563576702215,0.562037797863599,0.562037797863599,0.5632183908045977,0.5632183908045977,0.5626537470013229,0.000530464113593129,1
20.93589668273926,0.23727498238791842,1.0765875339508058,0.020889012169080626,0.7,{'qda__reg_param': 0.7},0.5627563576702215,0.562037797863599,0.562037797863599,0.5632183908045977,0.5632183908045977,0.5626537470013229,0.000530464113593129,1
20.452624893188478,0.468541780817359,1.0690738201141357,0.04615657833019896,0.8,{'qda__reg_param': 0.8},0.5627563576702215,0.562037797863599,0.562037797863599,0.5632183908045977,0.5632183908045977,0.5626537470013229,0.000530464113593129,1
20.641063165664672,0.4279525309413438,0.9153719425201416,0.09716071862811632,0.9,{'qda__reg_param': 0.9},0.5627563576702215,0.562037797863599,0.562037797863599,0.5632183908045977,0.5632183908045977,0.5626537470013229,0.000530464113593129,1
20.510356855392455,0.14146342688516603,0.7033403873443603,0.05337760085348172,1.0,{'qda__reg_param': 1.0},0.5627563576702215,0.562037797863599,0.562037797863599,0.5632183908045977,0.5632183908045977,0.5626537470013229,0.000530464113593129,1
