,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_rf__criterion,param_rf__max_features,param_rf__n_estimators,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0,11.812184286117553,0.15690213046667328,0.06669659614562988,0.0108312246980959,gini,sqrt,100,"{'rf__criterion': 'gini', 'rf__max_features': 'sqrt', 'rf__n_estimators': 100}",0.9076682316118936,0.909952606635071,0.8963317384370016,0.9161490683229814,0.903125,0.9066453290013895,0.006649335948761385,4
1,22.815776014328,0.34819132322974,0.12784266471862793,0.03775150152110516,gini,sqrt,200,"{'rf__criterion': 'gini', 'rf__max_features': 'sqrt', 'rf__n_estimators': 200}",0.9192546583850931,0.9064976228209192,0.8849840255591054,0.9211746522411128,0.9014084507042254,0.9066638819420911,0.013166271138684791,3
2,33.073181343078616,0.3784663990614766,0.11107683181762695,0.013606329035157698,gini,sqrt,300,"{'rf__criterion': 'gini', 'rf__max_features': 'sqrt', 'rf__n_estimators': 300}",0.9107981220657277,0.9162717219589257,0.9070866141732283,0.9259259259259259,0.8948194662480377,0.9109803700743692,0.010273630383817222,1
3,46.26557803153992,1.2680407994392415,0.1427642822265625,0.024765373207167683,gini,sqrt,400,"{'rf__criterion': 'gini', 'rf__max_features': 'sqrt', 'rf__n_estimators': 400}",0.9175738724727839,0.9162717219589257,0.9082278481012658,0.9233128834355828,0.8829113924050633,0.9096595436747241,0.014214672259120337,2
4,2.279199314117432,0.19989096398568001,0.04341726303100586,0.012566007309629772,gini,log2,100,"{'rf__criterion': 'gini', 'rf__max_features': 'log2', 'rf__n_estimators': 100}",0.859504132231405,0.8253424657534246,0.82793867120954,0.8599670510708401,0.7889273356401384,0.8323359311810696,0.026283609171707575,13
5,4.485025835037232,0.1238654479479083,0.07312040328979492,0.017446476017334508,gini,log2,200,"{'rf__criterion': 'gini', 'rf__max_features': 'log2', 'rf__n_estimators': 200}",0.856198347107438,0.8403361344537815,0.8117443868739206,0.8552412645590682,0.8109965635738832,0.8349033393136184,0.020022461525184675,11
6,7.306053829193115,0.22785630866323872,0.11067404747009277,0.0217443152706532,gini,log2,300,"{'rf__criterion': 'gini', 'rf__max_features': 'log2', 'rf__n_estimators': 300}",0.8618421052631579,0.8313458262350937,0.8158347676419966,0.8646864686468647,0.8062283737024222,0.8359875082979069,0.023687020790025135,10
7,10.268721103668213,0.2239376435084135,0.15646204948425294,0.03110275562988489,gini,log2,400,"{'rf__criterion': 'gini', 'rf__max_features': 'log2', 'rf__n_estimators': 400}",0.856198347107438,0.8470588235294118,0.8333333333333334,0.8845528455284553,0.8211243611584327,0.8484535421314142,0.02163604306059022,9
8,11.57884111404419,0.18399839397395798,0.04125766754150391,0.008887423349469492,entropy,sqrt,100,"{'rf__criterion': 'entropy', 'rf__max_features': 'sqrt', 'rf__n_estimators': 100}",0.8966613672496025,0.896,0.8752025931928687,0.9259259259259259,0.8622366288492707,0.8912053030435336,0.021695853133741123,8
9,23.085412549972535,0.26604430703219234,0.0686788558959961,0.011768503587905075,entropy,sqrt,200,"{'rf__criterion': 'entropy', 'rf__max_features': 'sqrt', 'rf__n_estimators': 200}",0.9022082018927445,0.9076433121019108,0.8995215311004785,0.9175738724727839,0.8817891373801917,0.901747210989622,0.011736593098596124,6
10,34.60996050834656,0.3852778423789812,0.10078897476196289,0.019556482754760386,entropy,sqrt,300,"{'rf__criterion': 'entropy', 'rf__max_features': 'sqrt', 'rf__n_estimators': 300}",0.9102362204724409,0.9128367670364501,0.896,0.9175738724727839,0.8938193343898574,0.9060932388743064,0.009454804267522238,5
11,46.96172304153443,0.5438451886530218,0.12977380752563478,0.03886519947261774,entropy,sqrt,400,"{'rf__criterion': 'entropy', 'rf__max_features': 'sqrt', 'rf__n_estimators': 400}",0.9122257053291536,0.9076433121019108,0.8892455858747994,0.9173166926677067,0.8785942492012779,0.9010051090349697,0.014673570153188575,7
12,3.0421767234802246,0.19666654169626765,0.052587270736694336,0.017097630785589193,entropy,log2,100,"{'rf__criterion': 'entropy', 'rf__max_features': 'log2', 'rf__n_estimators': 100}",0.8271186440677966,0.8333333333333334,0.7986111111111112,0.8417508417508418,0.7944732297063903,0.8190574319938946,0.019006369381368945,16
13,6.026459884643555,0.057543541015889425,0.0776106834411621,0.006119520820839796,entropy,log2,200,"{'rf__criterion': 'entropy', 'rf__max_features': 'log2', 'rf__n_estimators': 200}",0.8403361344537815,0.8367346938775511,0.8213058419243986,0.8470588235294118,0.7895652173913044,0.8270001422352895,0.020536599199926626,15
14,8.93390998840332,0.13703171872595396,0.1195556640625,0.01651486469185979,entropy,log2,300,"{'rf__criterion': 'entropy', 'rf__max_features': 'log2', 'rf__n_estimators': 300}",0.8422818791946308,0.8245315161839863,0.8192771084337349,0.85,0.8075601374570447,0.8287301282538794,0.015435114738984856,14
15,9.96466236114502,1.0997931916069774,0.08682007789611816,0.034973165969346395,entropy,log2,400,"{'rf__criterion': 'entropy', 'rf__max_features': 'log2', 'rf__n_estimators': 400}",0.8466666666666667,0.8378378378378378,0.8206896551724138,0.8642384105960265,0.7993019197207679,0.8337468979987426,0.022227625471318135,12
